年份,月份,搭乘人次
107,1,5393174
107,2,4313714
107,3,5897924
107,4,5413457
107,5,5770367
107,6,5283410
107,7,4080755
107,8,4125349
107,9,4766440
107,10,5299789
107,11,5085947
107,12,5103054
108,1,4649294
108,2,4066151
108,3,5029986
108,4,4862978
108,5,5086652
108,6,4300047
108,7,4488619
108,8,4390033
108,9,4634256
108,10,5153121
108,11,4954277
108,12,5106617
109,1,4426607
109,2,3477765
109,3,4072634
109,4,3462751
109,5,4058759
109,6,4001733
109,7,4032523
109,8,3928647
109,9,4480971
109,10,4460921
109,11,4516865
109,12,4617832
110,1,3656726
110,2,2830324
110,3,4353836
110,4,4121798
110,5,2550620
110,6,491159
110,7,939949
110,8,1784847
110,9,2716892
110,10,3312237
110,11,3576813
110,12,3797212
111,1,2686107
111,2,2250944
111,3,3622790
111,4,2813999
111,5,2089859
111,6,2346331
111,7,2568736
111,8,2756154
111,9,2918434
111,10,3122558
111,11,3078363
111,12,3173977
112,1,3182236
112,2,2581462
112,3,3617978
112,4,3152079
112,5,3306778
112,6,3028373
112,7,2889839
112,8,3280254
112,9,3324992
112,10,3503249
112,11,3544135
112,12,3559284
113,1,3307098
113,2,2823497
113,3,3463207
113,4,3274412
113,5,3604678
113,6,3053784
113,7,3042781
113,8,3125831
113,9,3281831
113,10,3267489
113,11,3497313
